acceleration_x_mean,acceleration_x_std,acceleration_x_min,acceleration_x_median,acceleration_x_max,acceleration_x_sum,acceleration_y_mean,acceleration_y_std,acceleration_y_min,acceleration_y_median,acceleration_y_max,acceleration_y_sum,acceleration_z_mean,acceleration_z_std,acceleration_z_min,acceleration_z_median,acceleration_z_max,acceleration_z_sum
0.9392,0.0122376468326226,0.896,0.944,0.952,18.784,-0.2797,0.0070221079456242,-0.292,-0.28,-0.266,-5.594,0.1460999999999999,0.0080616375507709,0.13,0.144,0.16,2.922
0.938,0.0108811764069883,0.904,0.943,0.946,18.76,-0.2814,0.0081999999999999,-0.298,-0.282,-0.268,-5.628000000000001,0.1426,0.0069885620838624,0.128,0.142,0.158,2.852
0.9404,0.0104613574644975,0.91,0.942,0.952,18.808,-0.2764,0.0057131427428342,-0.286,-0.276,-0.264,-5.5280000000000005,0.1454,0.0082486362509205,0.128,0.146,0.158,2.9080000000000004
0.9441,0.0052716221412388,0.926,0.944,0.954,18.882,-0.2683,0.0080566742518237,-0.282,-0.27,-0.252,-5.3660000000000005,0.1404,0.0102489023802551,0.112,0.142,0.156,2.8080000000000003
0.9424,0.0114297856497836,0.902,0.945,0.952,18.848000000000003,-0.2603000000000001,0.0256848204198511,-0.282,-0.266,-0.154,-5.206000000000001,0.1295,0.0108604788108075,0.098,0.13,0.144,2.59
0.96,0.020519567041703,0.93,0.956,0.998,18.24,-0.2232631578947368,0.0213463718235137,-0.27,-0.226,-0.19,-4.242,0.0324210526315789,0.0473756719596546,-0.058,0.038,0.102,0.616
0.9599000000000002,0.0355160527085992,0.91,0.958,1.02,19.198000000000004,-0.1891,0.1137514395513305,-0.362,-0.221,0.034,-3.782,0.0237,0.1038446435787614,-0.116,-0.015,0.2,0.474
0.9512,0.0482012447972041,0.894,0.946,1.12,19.024,-0.2575,0.0723045641712886,-0.362,-0.253,-0.09,-5.15,0.0729,0.0615677675411412,-0.014,0.059,0.216,1.4580000000000002
0.955,0.0216379296606676,0.92,0.96,0.988,19.1,-0.2423,0.0715437628308715,-0.378,-0.221,-0.136,-4.846,0.0627,0.0207004830861504,0.038,0.059,0.112,1.2540000000000002
0.9444,0.0137927517196533,0.91,0.946,0.962,18.888,-0.2612,0.029178073959739,-0.334,-0.258,-0.218,-5.224,0.0908,0.0089308454247064,0.066,0.093,0.102,1.8160000000000005
0.9489999999999998,0.0136747943311773,0.91,0.951,0.968,18.98,-0.2491,0.0240372627393386,-0.288,-0.25,-0.194,-4.982,0.0744,0.0203233855447363,0.032,0.08,0.102,1.4880000000000002
0.9533,0.0119544970617755,0.928,0.956,0.974,19.066,-0.2481999999999999,0.0274656148665927,-0.286,-0.255,-0.196,-4.963999999999999,0.039,0.0143317828618773,0.008,0.0409999999999999,0.062,0.7800000000000002
0.9466,0.016529972776747,0.914,0.95,0.974,18.932,-0.2726,0.0315347427451057,-0.33,-0.282,-0.192,-5.452,0.0467,0.0227268563598224,0.002,0.053,0.078,0.934
0.954,0.068798255791844,0.834,0.948,1.08,19.08,-0.2018999999999999,0.1368363621264464,-0.338,-0.277,0.136,-4.037999999999999,0.0435,0.0442577676798096,-0.064,0.046,0.11,0.87
0.6753,0.5583003761417326,-0.45,0.919,1.238,13.506,-0.4873999999999999,0.3750429842031443,-1.188,-0.394,0.252,-9.748,0.1855,0.1360071689287002,-0.032,0.175,0.502,3.71
-0.3896999999999999,0.3816790667563522,-0.832,-0.448,0.496,-7.793999999999999,-0.6242,0.279757680859704,-1.266,-0.463,-0.386,-12.484,0.3824999999999999,0.1225134686473287,0.12,0.406,0.542,7.649999999999999
0.9317894736842106,0.14883815970353,0.62,0.932,1.232,17.704,-0.3672631578947368,0.2600819389316542,-0.858,-0.314,0.216,-6.977999999999999,0.1216842105263157,0.1361040827074628,-0.032,0.07,0.524,2.312
0.9514,0.0485472965261712,0.864,0.955,1.068,19.028,-0.1773,0.1817979922881438,-0.528,-0.196,0.206,-3.5460000000000003,0.1099,0.0866382709892112,0.004,0.0839999999999999,0.344,2.198
0.9752,0.0536447574325767,0.838,0.981,1.074,19.504,-0.1517,0.0472452113975585,-0.228,-0.148,-0.074,-3.034,-0.0057,0.0611662488632415,-0.128,0.006,0.098,-0.114
0.9626,0.0158505520408596,0.934,0.966,0.992,19.252,-0.1765,0.0519956728968863,-0.282,-0.182,-0.058,-3.53,0.0701,0.024847333861,0.03,0.073,0.118,1.402
0.9616,0.0123385574521497,0.934,0.961,0.988,19.232000000000003,-0.2139,0.054569130467692,-0.314,-0.203,-0.13,-4.2780000000000005,0.0792,0.0356897744459109,0.03,0.074,0.192,1.5840000000000003
0.9595999999999998,0.0133955216397122,0.928,0.964,0.974,19.192,-0.2117,0.0229021833020347,-0.25,-0.212,-0.158,-4.234,0.0675,0.0134591975986683,0.044,0.067,0.096,1.3500000000000003
0.9583,0.0075438716850169,0.94,0.96,0.976,19.166,-0.2284,0.0085930204235763,-0.248,-0.227,-0.212,-4.568,0.0883,0.0091493169143931,0.064,0.09,0.104,1.7660000000000002
0.954,0.0154012986465427,0.92,0.959,0.976,19.08,-0.2149,0.0080118661995817,-0.232,-0.216,-0.194,-4.298,0.0888,0.0089532117142397,0.062,0.088,0.104,1.7760000000000002
0.9569,0.0111440567119877,0.926,0.96,0.968,19.138,-0.2213,0.007956758133813,-0.236,-0.222,-0.208,-4.426,0.0829,0.007495998932764,0.064,0.081,0.096,1.658
0.9622,0.0063213922517116,0.952,0.961,0.974,19.244,-0.2089,0.005881326381013,-0.218,-0.209,-0.2,-4.178000000000001,0.08,0.0102761860629321,0.062,0.077,0.096,1.6000000000000003
0.9595,0.0116769002736171,0.924,0.962,0.974,19.19,-0.2091,0.0064953829756219,-0.222,-0.207,-0.2,-4.182,0.0805,0.007638717169787,0.068,0.08,0.094,1.6100000000000003
0.9606,0.0084166501650003,0.944,0.961,0.976,19.212000000000003,-0.2052,0.0063371918071019,-0.216,-0.206,-0.192,-4.104000000000001,0.0772,0.0066151341634164,0.064,0.077,0.088,1.544
0.9609,0.0073885045848263,0.94,0.96,0.974,19.218,-0.2109,0.0098888826466896,-0.232,-0.208,-0.192,-4.218000000000001,0.0786,0.0065757128891094,0.062,0.078,0.092,1.5720000000000005
0.9577000000000002,0.0123656783073149,0.92,0.96,0.972,19.154000000000003,-0.2116,0.0087086164228308,-0.224,-0.211,-0.196,-4.232000000000001,0.0802,0.0075339232807349,0.07,0.079,0.094,1.6040000000000003
0.9517000000000004,0.0130885446096958,0.92,0.954,0.966,19.03400000000001,-0.2226,0.0089688349299114,-0.242,-0.224,-0.208,-4.452,0.0834,0.0074859869088851,0.07,0.082,0.096,1.668
0.9623000000000002,0.0111045035908859,0.926,0.966,0.974,19.246,-0.2066,0.0118169369973779,-0.226,-0.208,-0.184,-4.132000000000001,0.0787,0.0081308056181414,0.064,0.078,0.096,1.5740000000000005
0.963473684210526,0.009533146722179,0.944,0.966,0.978,18.306,-0.1952631578947368,0.0095853073160692,-0.216,-0.194,-0.178,-3.71,0.0854736842105263,0.0104597897787702,0.07,0.082,0.11,1.624
0.9612,0.0126079340099795,0.926,0.966,0.984,19.224,-0.1854,0.0134327956881655,-0.21,-0.182,-0.164,-3.708,0.0776,0.0089353231614754,0.062,0.078,0.096,1.5520000000000005
0.9638000000000002,0.006690291473471,0.952,0.964,0.978,19.276000000000003,-0.1986,0.0182219647678289,-0.226,-0.198,-0.164,-3.972,0.0823,0.0082528782857861,0.066,0.082,0.098,1.646
0.94925,0.0134884209602161,0.92,0.95,0.974,15.188,-0.264,0.0231300670124407,-0.298,-0.268,-0.2,-4.224,0.1045,0.0099373034571758,0.082,0.108,0.12,1.6720000000000002
0.9549999999999998,0.0091323600454646,0.936,0.958,0.97,19.1,-0.2277,0.0090393583843102,-0.242,-0.228,-0.21,-4.554,0.1034,0.0102,0.088,0.102,0.126,2.0680000000000005
0.95,0.0135941163743731,0.92,0.952,0.966,19.0,-0.2356999999999999,0.0040137264480778,-0.246,-0.234,-0.232,-4.713999999999999,0.1135999999999999,0.0098914104151025,0.088,0.112,0.13,2.272
0.9556,0.0110562199688681,0.914,0.96,0.968,19.112,-0.2396999999999999,0.0098035707780379,-0.264,-0.24,-0.224,-4.794,0.1107999999999999,0.0081829090181915,0.096,0.112,0.12,2.216
0.9542,0.0069828361000384,0.944,0.952,0.972,19.084,-0.2242,0.0058617403559011,-0.234,-0.224,-0.216,-4.484000000000001,0.1092,0.0068234888436927,0.092,0.108,0.12,2.184
0.9558,0.0066,0.944,0.956,0.972,19.116,-0.2298,0.0077433842730423,-0.244,-0.231,-0.212,-4.596,0.1027,0.011194194924156,0.08,0.104,0.12,2.0540000000000003
0.9523,0.0116494635069602,0.92,0.956,0.962,19.046,-0.2392999999999999,0.0127792801049198,-0.274,-0.238,-0.218,-4.786,0.0885,0.0074531872376856,0.072,0.09,0.1,1.7700000000000002
0.9642,0.0742156317766007,0.866,0.951,1.138,19.284,-0.245,0.0305712283037499,-0.302,-0.252,-0.186,-4.9,0.1219,0.0470041487530622,0.056,0.124,0.2,2.438
0.9444,0.1394024390030533,0.79,0.907,1.302,18.888,-0.1591999999999999,0.0622716628973403,-0.286,-0.17,-0.002,-3.184,0.1510999999999999,0.0601946010868084,0.056,0.13,0.246,3.022
1.0001,0.1787987416063099,0.814,0.964,1.552,20.002,-0.1258,0.1197495720242874,-0.32,-0.13,0.064,-2.516,0.1126,0.0769911683246851,-0.058,0.104,0.242,2.252
0.9652,0.1310853157298711,0.792,0.934,1.328,19.304,-0.1495999999999999,0.0941522171804785,-0.308,-0.164,0.048,-2.9919999999999995,0.0804999999999999,0.1204107553335664,-0.09,0.1109999999999999,0.254,1.6099999999999997
0.9668,0.1123555072081471,0.678,0.955,1.186,19.336,-0.4514,0.3197981238218886,-1.05,-0.3209999999999999,-0.068,-9.028,0.0262,0.1387557566373374,-0.25,0.0829999999999999,0.174,0.5240000000000001
